id,symbol,
Top Event,TE,
Top Event.Runoff \nQuantity Control \nFailures,SFF1-triangle,
Top Event.Runoff \nQuality Control \nFailures,SFF2-triangle,
Top Event.Additional \nService Function \nFailures,SFF3,
Top Event.Additional \nService Function \nFailures.OR,Gate,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures,IE31,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR,Gate,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unpleasant odors \n from \n ponding area,IE32,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unpleasant odors \n from \n ponding area.OR,Gate,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unpleasant odors \n from \n ponding area.OR.Trash \n accumulation,BE4,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unpleasant odors \n from \n ponding area.OR.Green waste \n accumulation,BE5,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unpleasant odors \n from \n ponding area.OR.Animal \n excrement,BE35,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area,IE33,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR,Gate,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Trash \n accumulation,BE4,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Invasive plants \n taking over,BE6,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Sediment \n buildup \n on the surface,BE7,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Plants not \n thriving,BE10,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Ineffective or \n neglected \n clean up,BE34,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Uneven \n irrigation,BE43,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n inlets,IE3,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n inlets.OR,Gate,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n inlets.OR.Obstruction \n by external \n elements,BE1,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n inlets.OR.Deterioration of \n nearby \n infrastructures,BE2,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n inlets.OR.Winter road \n maintenance \n causing \n deterioration,BE3,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n inlets.OR.Green waste \n accumulation,BE5,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n inlets.OR.Blocked \n curb cuts,IE4,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n inlets.OR.Blocked \n curb cuts.OR,Gate,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n inlets.OR.Blocked \n curb cuts.OR.Invasive plants \n taking over,BE6,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n inlets.OR.Blocked \n curb cuts.OR.Sediment \n buildup \n on the surface,BE7,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n inlets.OR.Blocked \n catch basin \n inserts,IE5,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n inlets.OR.Blocked \n catch basin \n inserts.OR,Gate,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n inlets.OR.Blocked \n catch basin \n inserts.OR.Trash \n accumulation,BE4,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n inlets.OR.Blocked \n catch basin \n inserts.OR.Clogging,BE8,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n outlets,IE19,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n outlets.OR,Gate,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n outlets.OR.Obstruction \n by external \n elements,BE1,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n outlets.OR.Winter road \n maintenance \n causing \n deterioration,BE3,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n outlets.OR.Trash \n accumulation,BE4,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n outlets.OR.Clogging,BE8,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n outlets.OR.Overly dense \n vegetation,BE16,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n outlets.OR.Mulch \n accumulation,BE29,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n outlets.OR.Blockage of \n drainage layer,IE20,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n outlets.OR.Blockage of \n drainage layer.AND,Gate,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n outlets.OR.Blockage of \n drainage layer.AND.Layers \n exposed,BE30,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n outlets.OR.Blockage of \n drainage layer.AND.OR,Gate,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n outlets.OR.Blockage of \n drainage layer.AND.OR.Migration of \n filter media \n into the \n drainage layer,BE31,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n outlets.OR.Blockage of \n drainage layer.AND.OR.Root \n penetration,BE32,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n outlets.OR.Blocked \n underdrain pipe,IE21,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n outlets.OR.Blocked \n underdrain pipe.OR,Gate,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n outlets.OR.Blocked \n underdrain pipe.OR.Freezing \n of under drain,BE20,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n outlets.OR.Blocked \n underdrain pipe.OR.Migration of \n filter media \n into the \n drainage layer,BE31,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Blocked \n outlets.OR.Blocked \n underdrain pipe.OR.Root \n penetration,BE32,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Deterioration of \n components,IE27,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Deterioration of \n components.OR,Gate,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Deterioration of \n components.OR.Inadequate \n water retention \n by soil,IE13,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Deterioration of \n components.OR.Inadequate \n water retention \n by soil.OR,Gate,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Deterioration of \n components.OR.Inadequate \n water retention \n by soil.OR.Winter road \n maintenance \n causing \n deterioration,BE3,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Deterioration of \n components.OR.Inadequate \n water retention \n by soil.OR.Deterioration \n by external \n factors,BE9,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Deterioration of \n components.OR.Inadequate \n water retention \n by soil.OR.Freezing of \n soil top \n layer,BE18,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Deterioration of \n components.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture,IE14,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Deterioration of \n components.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR,Gate,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Deterioration of \n components.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.High \n groundwater \n level,BE19,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Deterioration of \n components.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Freezing \n of under drain,BE20,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Deterioration of \n components.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Irrigation system \nmalfunction,IE15,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Deterioration of \n components.OR.AND,Gate,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Deterioration of \n components.OR.AND.Plants not \n thriving,BE10,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Deterioration of \n components.OR.AND.Wash off,BE36,
