id,symbol,
Top Event,TE,
Top Event.Runoff \nQuantity Control \nFailure,SFF1,
Top Event.Runoff \nQuality Control \nFailure,SFF2-triangle,
Top Event.Additional \nService Function \nFailures,SFF3-triangle,
Top Event.Runoff \nQuantity Control \nFailure.OR,Gate,
Top Event.Runoff \nQuantity Control \nFailure.OR.Changes in the \n contributing drainage area,IE1,
Top Event.Runoff \nQuantity Control \nFailure.OR.Changes in the \n contributing drainage area.OR,Gate,
Top Event.Runoff \nQuantity Control \nFailure.OR.Changes in the \n contributing drainage area.OR.Obstruction \n by external \n elements,BE1,
Top Event.Runoff \nQuantity Control \nFailure.OR.Changes in the \n contributing drainage area.OR.Deterioration of \n nearby \n infrastructures,BE2,
Top Event.Runoff \nQuantity Control \nFailure.OR.Changes in the \n contributing drainage area.OR.Winter road \n maintenance \n causing \n deterioration,BE3,
Top Event.Runoff \nQuantity Control \nFailure.OR.No inflow from \n contributing drainage area,IE2,
Top Event.Runoff \nQuantity Control \nFailure.OR.No inflow from \n contributing drainage area.OR,Gate,
Top Event.Runoff \nQuantity Control \nFailure.OR.No inflow from \n contributing drainage area.OR.Winter road \n maintenance \n causing \n deterioration,BE3,
Top Event.Runoff \nQuantity Control \nFailure.OR.No inflow from \n contributing drainage area.OR.Trash \n accumulation,BE4,
Top Event.Runoff \nQuantity Control \nFailure.OR.Blocked \n inlets,IE3
Top Event.Runoff \nQuantity Control \nFailure.OR.Blocked \n inlets.OR,Gate,
Top Event.Runoff \nQuantity Control \nFailure.OR.Blocked \n inlets.OR.Obstruction \n by external \n elements,BE1,
Top Event.Runoff \nQuantity Control \nFailure.OR.Blocked \n inlets.OR.Deterioration of \n neabry \n infrastructures,BE2,
Top Event.Runoff \nQuantity Control \nFailure.OR.Blocked \n inlets.OR.Winter road \n maintenance \n causing \n deterioration,BE3,
Top Event.Runoff \nQuantity Control \nFailure.OR.Blocked \n inlets.OR.Green waste \n accumulation,BE5,
Top Event.Runoff \nQuantity Control \nFailure.OR.Blocked \n inlets.OR.Blocked \n curb cuts,IE4,
Top Event.Runoff \nQuantity Control \nFailure.OR.Blocked \n inlets.OR.Blocked \n curb cuts.OR,Gate,
Top Event.Runoff \nQuantity Control \nFailure.OR.Blocked \n inlets.OR.Blocked \n curb cuts.OR.Invasive plants \n taking over,BE6,
Top Event.Runoff \nQuantity Control \nFailure.OR.Blocked \n inlets.OR.Blocked \n curb cuts.OR.Sediment \n buildup \n on the surface,BE7,
Top Event.Runoff \nQuantity Control \nFailure.OR.Blocked \n inlets.OR.Blocked \n catch basin \n inserts,IE5,
Top Event.Runoff \nQuantity Control \nFailure.OR.Blocked \n inlets.OR.Blocked \n catch basin \n inserts.OR,Gate,
Top Event.Runoff \nQuantity Control \nFailure.OR.Blocked \n inlets.OR.Blocked \n catch basin \n inserts.OR.Trash \n accumulation,BE4,
Top Event.Runoff \nQuantity Control \nFailure.OR.Blocked \n inlets.OR.Blocked \n catch basin \n inserts.OR.Clogging,BE8,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated,IE6,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR,Gate,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Winter road \n maintenance \n causing \n deterioration,BE3,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Green waste \n accumulation,BE5,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Sediment \n buildup \n on the surface,BE7,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Deterioration \n by external \n factors,BE9,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Damage to \n side slopes,IE7,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Damage to \n side slopes.AND,Gate,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Damage to \n side slopes.AND.Plants not \n thriving,BE10,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Damage to \n side slopes.AND.Soil erosion,BE11,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Check dam \n deteriorated,IE8,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Check dam \n deteriorated.OR,Gate,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Check dam \n deteriorated.OR.High \n check dam \n invert,BE12,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Check dam \n deteriorated.OR.Appearance of \n cracks in \n concrete,BE13,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Check dam \n deteriorated.OR.Check dam \n stones moved \n upstream,BE14,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by vegetation,IE9,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by vegetation.OR,Gate,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by vegetation.OR.High \n flow rates,IE10,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by vegetation.OR.High \n flow rates.OR,Gate,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by vegetation.OR.High \n flow rates.OR.Plants not \n thriving,BE10,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by vegetation.OR.High \n flow rates.OR.Too short \n vegetation,BE15,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by vegetation.OR.Low \n flow rates,IE11,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by vegetation.OR.Low \n flow rates.OR,Gate,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by vegetation.OR.Low \n flow rates.OR.Trash \n accumulation,BE4,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by vegetation.OR.Low \n flow rates.OR.Overly dense \n vegetation,BE16,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by vegetation.OR.Low evapotranspiration,IE12,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by vegetation.OR.Low evapotranspiration.OR,Gate,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by vegetation.OR.Low evapotranspiration.OR.Plants not \n thriving,BE10,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by vegetation.OR.Low evapotranspiration.OR.Sunlight \n obstruction,BE17,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by vegetation.OR.Irrigation system \nmalfunction,IE15,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by vegetation.OR.Irrigation system \nmalfunction.OR,Gate,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by vegetation.OR.Irrigation system \nmalfunction.OR.Sensor malfunction,BE21,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by vegetation.OR.Irrigation system \nmalfunction.OR.Uneven irrigation,BE22,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil,IE13,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR,Gate,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.Winter road \n maintenance \n causing \n deterioration,BE3,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.Clogging,BE8,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.Deterioration \n by external \n factors,BE9,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.Freezing of \n soil top \n layer,BE18,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture,IE14,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR,Gate,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.High \n groundwater \n level,BE19,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Freezing \n of under drain,BE20
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Irrigation system \nmalfunction,IE15,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Irrigation system \nmalfunction.OR,Gate,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Irrigation system \nmalfunction.OR.Excessive \n irrigation,IE16,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Irrigation system \nmalfunction.OR.Excessive \n irrigation.OR,Gate,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Irrigation system \nmalfunction.OR.Excessive \n irrigation.OR.Sensor \n malfunction,BE21,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Irrigation system \nmalfunction.OR.Excessive \n irrigation.OR.Uneven \n irrigation,BE22,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Irrigation system \nmalfunction.OR.Leakages or \n bursts in the \n distribution line,IE17,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Irrigation system \nmalfunction.OR.Leakages or \n bursts in the \n distribution line.OR,Gate,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Irrigation system \nmalfunction.OR.Leakages or \n bursts in the \n distribution line.OR.Deterioration \n by external \n factors,BE9,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Irrigation system \nmalfunction.OR.Leakages or \n bursts in the \n distribution line.OR.Pipe corrosion,BE23,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Irrigation system \nmalfunction.OR.Leakages or \n bursts in the \n distribution line.OR.Drips or \n sprinklers \n leaking,BE24,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Irrigation system \nmalfunction.OR.Leakages or \n bursts in the \n distribution line.OR.Freezing of \n components,BE25,
